date,CO,NO2,O3,SO2
2024-12-12,153.96954,7.6151943,88.07559,3.149046
2024-12-13,165.57541,12.35265,81.37607,5.1046653
2024-12-14,194.57487,18.365543,54.57706,7.243932
2024-12-15,223.82874,21.741737,32.87912,8.55318
2024-12-16,193.79417,18.61309,47.810444,7.5375767
2024-12-17,207.59212,25.472261,25.182537,8.387111
2024-12-18,211.89798,30.226639,25.966131,8.6849575
2024-12-19,181.45804,11.690347,55.37496,4.8523965
2024-12-20,176.47266,9.739395,63.862617,5.13326
2024-12-21,172.0549,10.887365,66.995804,5.45725
2024-12-22,188.60303,12.083376,56.351677,5.8753023
2024-12-23,178.01173,13.660776,51.820576,5.662172
2024-12-24,208.60245,20.723625,29.799852,7.7322984
2024-12-25,192.36679,9.809794,58.23149,5.879861
2024-12-26,173.66632,8.944915,53.947174,5.2980633
2024-12-27,165.0501,11.952347,59.331467,5.702527
2024-12-28,180.8072,14.182417,51.560852,7.338926
2024-12-29,191.60374,9.976129,49.23926,5.00905
2024-12-30,161.35573,7.430523,75.298004,3.8766143
2024-12-31,159.28409,10.415038,81.86197,5.5088096
